date,caption,platform,likes,comments
2023-03-01,Absolutely in love with this incredible product! The quality is outstanding! #blessed #happy,instagram,234,45
2023-03-02,Not impressed with my purchase. Expected better for the price. #disappointed,instagram,45,23
2023-03-03,Just got this in the mail today. Standard packaging and delivery.,instagram,78,12
2023-03-04,This has completely transformed my daily routine! So grateful I discovered it! #lifechanging,instagram,345,89
2023-03-05,Broken on arrival. Very upset with the quality control. #badservice,instagram,67,54
2023-03-06,Regular day with this product. Nothing special to report. #everyday,instagram,91,8
2023-03-07,The best customer service I've ever experienced! Thank you for going above and beyond!,instagram,187,34
2023-03-08,Extremely frustrated with how difficult this is to use. Not intuitive at all.,instagram,56,27
2023-03-09,Neutral review of this product. Has pros and cons like most things.,instagram,102,14
2023-03-10,Couldn't be happier with this purchase! Worth every penny! #satisfied #happy,instagram,298,76
2023-03-11,What a letdown. Doesn't live up to the marketing hype at all. #misleading,instagram,78,43
2023-03-12,It's okay. Does what it says it will do. Nothing more nothing less.,instagram,113,19
2023-03-13,Best decision I ever made! This product has exceeded all my expectations!,instagram,421,112
2023-03-14,Terrible experience from start to finish. Will not purchase again.,instagram,37,31
2023-03-15,Average product. Good for some uses but limited in others. #balanced,instagram,89,11
